video_id,likes,thumbnail_link,extracted_text,labels,web_entities
VQdKe6_3PAU,3797,https://i.ytimg.com/vi/VQdKe6_3PAU/default.jpg,,"['Facial expression', 'Cartoon', 'Fictional character', 'Happiness', 'Animation', 'Animated cartoon', 'Fiction', 'Comics', 'Video Game Software', 'Graphics']","['Cartoon', 'Comics', 'Animation', 'animated cartoon']"
XP32nDUMYS8,24415,https://i.ytimg.com/vi/XP32nDUMYS8/default.jpg,vevo,"['Facial expression', 'Pleased', 'Film']","['Photograph', 'Photography', 'Photojournalism', 'Text', 'Image', 'Photo caption', 'Fine art', 'Art', 'Camera', 'create']"
eMV_WNJkflM,7555,https://i.ytimg.com/vi/eMV_WNJkflM/default.jpg,,"['Camera', 'Cameras & optics', 'Digital camera', 'Photographer', 'Nail', 'Reflex camera', 'Single-lens reflex camera', 'Camera lens', 'Brown hair', 'Long hair']",[]
GnGPAYvve1A,47762,https://i.ytimg.com/vi/GnGPAYvve1A/default.jpg,#ProudToCreate,"['Entertainment', 'Happiness', 'Collage', 'Performing Arts', 'Advertising', 'Graphic design']",['Meter']
-35jibKqbEo,84993,https://i.ytimg.com/vi/-35jibKqbEo/default.jpg,,"['Technology', 'Graphic design', 'Graphics', 'Night', 'Star', 'Science', 'Lens flare', 'Universe']","['The Darkness', 'Darkness', 'Song', 'Lyrics', 'The Drowns', 'Darkness', 'Chanson', 'Stranger Things', 'Rock and Roll Deserves to Die', 'Stole The Show']"
08l0K3UyUXE,4123,https://i.ytimg.com/vi/08l0K3UyUXE/default.jpg,GRAMMY AW INSIDE EDITION,"['Eyebrow', 'Lips', 'Forehead', 'Hairstyle', 'Eyelash', 'Black hair', 'Model', 'Makeover', 'Film', 'Hair care']",[]
eDZKgSZ9V0Q,47445,https://i.ytimg.com/vi/eDZKgSZ9V0Q/default.jpg,,"['Electronic device', 'Gadget', 'Computer hardware', 'Flat-panel display', 'Laptop', 'Computer', 'Display device', 'Personal computer', 'Office Equipment', 'Netbook']","['Flat-panel display', 'TV', 'Display device', 'Computer Monitor', 'Liquid-crystal display', 'Computer', 'Apple Cinema Display', 'Mobile device', 'LED display', 'Video wall']"
6ZwXRnueOMg,3051,https://i.ytimg.com/vi/6ZwXRnueOMg/default.jpg,,"['Cat', 'Felinae', 'Felidae', 'Carnivores', 'Whiskers', 'Fur', 'Kitten', 'Snout', 'Asian Semi-longhair', 'Persian cat']","['Ragdoll', 'Aegean cat', 'Ragamuffin', 'Arabian Mau', 'Norwegian Forest Cat', 'British Semi-longhair', 'Ojos Azules', 'Napoleon cat', 'British Longhair', 'Persian cat']"
Wwyxaow1wWg,2,https://i.ytimg.com/vi/Wwyxaow1wWg/default.jpg,,"['Facial expression', 'Film', 'Photo caption']","['Funny meme', 'Dailymotion', 'Country music', 'Meme', 'Girl', 'first', 'Internet meme', 'The Dot Cakes', 'DistroKid']"
MyEqfBkzESU,8133,https://i.ytimg.com/vi/MyEqfBkzESU/default.jpg,,"['Eyebrow', 'Lips', 'Eyelash', 'Eye shadow', 'Makeover', 'Cosmetics', 'Mascara', 'Eye liner', 'Lipstick', 'Eyelash extensions']","['Eyeliner', 'Eyeliners', 'e.l.f. H2O Proof Eyeliner Pen', 'Eyeshadow', 'Tarte Sex Kitten Liquid Eyeliner', 'ColorStay Eyeliner Revlon', 'Skin', 'Black', 'NYX PROFESSIONAL MAKEUP Epic Ink Liner, Waterproof Liquid Eyeliner - Black , Vegan Formula', 'Tarte']"
